timestamp,level,message
2026-04-21T21:59:18.161616,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T21:59:18.294958,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T21:59:18.313693,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T22:00:18.559611,INFO,Rodada concluida sem novas operacoes
2026-04-21T22:00:18.610395,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T22:00:18.741621,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T22:00:18.776625,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T22:01:19.453371,INFO,Rodada concluida sem novas operacoes
2026-04-21T22:01:19.525259,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T22:01:19.660255,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T22:01:19.696069,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T22:02:19.917055,INFO,Rodada concluida sem novas operacoes
2026-04-21T22:02:19.983653,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T22:02:20.107796,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T22:02:20.134195,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T22:03:21.638319,INFO,Rodada concluida sem novas operacoes
2026-04-21T22:03:21.730596,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T22:03:21.905100,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T22:03:21.945047,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
2026-04-21T22:04:22.160894,INFO,Rodada concluida sem novas operacoes
2026-04-21T22:04:22.229642,INFO,[cycle_health] health_level=healthy;feed_status=live;broker_status=paper;worker_status=online;consecutive_errors=0;fallback=0
2026-04-21T22:04:22.346522,INFO,[validation_signal] day=10;phase=consolidacao;approved=2;rejected=14;against_trend=0;weak_score=12;feed_unreliable=8;context=NEUTRO;context_blocked=0
2026-04-21T22:04:22.377931,WARNING,Email final da validacao swing nao enviado: smtp_not_configured
